email,address,name,role,tdt_id,username,password,gender,phone_number,date_of_birth
19021212@student.tdtu.edu.vn,"101A, 39 Phố Nghĩa Đô, Cầu Giấy, Hà Nội",Nguyễn Việt Anh,student,19021212,19021212,bach,male,373093631,2004-02-28
19020001@student.tdtu.edu.vn,"Ngõ 69, Đường Cốm Vòng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Trần Xuân Bách,student,19020001,19020001,bach,male,155121565,2004-02-11
19020002@student.tdtu.edu.vn,"Ngõ 69, Đường Cốm Vòng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Đặng Thế Hoàng Anh,student,19020002,19020002,bach,male,2597837193,2004-08-14
19020003@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Hoàng Hữu Bách,student,19020003,19020003,bach,male,322983674,2004-07-25
19020004@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Nguyễn Bá Anh Tuấn,student,19020004,19020004,bach,male,729496535,2004-02-22
19020005@student.tdtu.edu.vn,"02 Đ. Minh Cầu, Hàng Văn Thụ, Thành phố Thái Nguyên, Thái Nguyên, Việt Nam",Đào Thị Ngát,student,19020005,19020005,bach,male,3501212752,2004-02-08
19020006@student.tdtu.edu.vn,"189 Nghi Tàm, Yên Phụ, Tây Hồ, Hà Nội",Nguyễn Minh Triết,student,19020006,19020006,bach,male,84776519,2004-03-22
19020007@student.tdtu.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Nguyễn Văn Huy,student,19020007,19020007,bach,male,816273432,2004-02-15
19020008@student.tdtu.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội",Hoàng Tuấn Anh,student,19020008,19020008,bach,male,2192155011,2004-08-26
19020009@student.tdtu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội",Nguyễn Thị Thơm,student,19020009,19020009,bach,male,3501212752,2004-03-22
19020010@student.tdtu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội",Trần Minh Khúc,student,19020010,19020010,bach,male,182764291,2004-01-20
19020011@student.tdtu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Bánh Trôi Nước,student,19020011,19020011,bach,male,223544128,2004-01-16
19020012@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Xuân Quỳnh,student,19020012,19020012,bach,male,2164224601,2004-08-28
19020013@student.tdtu.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Lưu Quang Vũ,student,19020013,19020013,bach,male,378676173,2004-07-14
19020014@student.tdtu.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Hatsune Miku,student,19020014,19020014,bach,male,370895424,2004-12-28
19020015@student.tdtu.edu.vn,"51A Phan Bội Châu, Hoàn Kiếm - Hà Nội.",Ưng Quang Huy,student,19020015,19020015,bach,male,372022214,2004-06-21
19020016@student.tdtu.edu.vn,"109 Ô Chợ Dừa - khu vực quận Đống Đa, thủ đô Hà Nội",Thang Bảo Thoa,student,19020016,19020016,bach,male,383848684,2004-03-07
19020017@student.tdtu.edu.vn,"550 Trần Khát Trân, khu vực quận Hai Bà Trưng, Hà Nội",Trần Văn A,student,19020017,19020017,bach,male,372331607,2004-05-15
19020018@student.tdtu.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Nguyễn Tuấn Minh,student,19020018,19020018,bach,male,3713595093,2004-01-18
19020019@student.tdtu.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Đào Văn Hùng,student,19020019,19020019,bach,male,3712997682,2004-11-05
19020020@student.tdtu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Nguyễn Văn Đông,student,19020020,19020020,bach,male,3718476263,2004-12-14
19020021@student.tdtu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Nguyễn Văn Lào,student,19020021,19020021,bach,male,2192155011,2004-09-01
19020022@student.tdtu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Trần Thị Năm,student,19020022,19020022,bach,male,3501212752,2004-07-24
19020023@student.tdtu.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",John Cena,student,19020023,19020023,bach,male,182764291,2004-10-07
19020024@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Đô Rê Mon,student,19020024,19020024,bach,male,223544128,2004-05-21
19020025@student.tdtu.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Nguyễn Tuấn Khải,student,19020025,19020025,bach,male,2164224601,2004-03-19
19020026@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Nguyễn Thị Phương Hằng,student,19020026,19020026,bach,male,378676173,2004-12-24
19020027@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Ưng Hoàng Phúc,student,19020027,19020027,bach,male,370895424,2004-11-08
19020028@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Tim Cook,student,19020028,19020028,bach,male,372022214,2004-12-13
19020029@student.tdtu.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Trịnh Quốc Thanh,student,19020029,19020029,bach,male,383848684,2004-03-18
19020030@student.tdtu.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Từ Nhã Mai,student,19020030,19020030,bach,male,2192155011,2004-01-21
19020031@student.tdtu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Quán Công Hiếu,student,19020031,19020031,bach,male,2192155011,2004-09-10
19020032@student.tdtu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Phí Quỳnh Giang,student,19020032,19020032,bach,male,3501212752,2004-10-17
19020033@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Yên Bảo Hà,student,19020033,19020033,bach,male,182764291,2004-08-24
19020034@student.tdtu.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",Tòng Hữu Từ,student,19020034,19020034,bach,male,223544128,2004-08-11
19020035@student.tdtu.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Hùng Thuỷ Tiên,student,19020035,19020035,bach,male,2164224601,2004-02-21
19020036@student.tdtu.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Cổ Thiên Mỹ,student,19020036,19020036,bach,male,378676173,2004-01-07
19020037@student.tdtu.edu.vn,"51A Phan Bội Châu, Hoàn Kiếm - Hà Nội.",Cô Văn Nan,student,19020037,19020037,bach,male,370895424,2004-02-04
19020038@student.tdtu.edu.vn,"109 Ô Chợ Dừa - khu vực quận Đống Đa, thủ đô Hà Nội",Metro Cát Linh Hà Đông,student,19020038,19020038,bach,male,372022214,2004-10-09
19020039@student.tdtu.edu.vn,"550 Trần Khát Trân, khu vực quận Hai Bà Trưng, Hà Nội",Nguyễn Giải Khát,student,19020039,19020039,bach,male,383848684,2004-07-08
19020040@student.tdtu.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Phong Tịnh Như,student,19020040,19020040,bach,male,2192155011,2004-05-20
19020041@student.tdtu.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Cổ Chí Giang,student,19020041,19020041,bach,male,3501212752,2004-06-15
19020042@student.tdtu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Chử Ánh Hoa,student,19020042,19020042,bach,male,2192155011,2004-01-22
